time,x1,x2,appliedInput,integratedCost
0,1,-1,0.73205080756889,0
0.02,0.980146051129066,-0.985412926098989,0.72663920330951,0.049953090065269
0.04,0.960582754559151,-0.970935107938207,0.721126183242208,0.0984018224217428
0.06,0.941307905269608,-0.956568517371388,0.71551736773848,0.145383804666865
0.08,0.922319259916453,-0.94231501538697,0.70981822346884,0.19093599253723
0.1,0.903614539019174,-0.928176355151254,0.704034066486905,0.235094690095143
0.12,0.885191429087257,-0.914154184990279,0.698170065267638,0.277895550444566
0.14,0.867047584687671,-0.900250051311395,0.692231243700168,0.319373576955586
0.16,0.849180630454526,-0.886465401465424,0.686222484035544,0.359563124976773
0.18,0.831588163042069,-0.872801586550319,0.680148529789822,0.398497904014946
0.2,0.814267753022185,-0.859259864157204,0.674013988602837,0.436210980361943
0.22,0.797216946727548,-0.845841401059672,0.66782333505306,0.472734780148232
0.24,0.780433268041541,-0.83254727584723,0.661580913428936,0.508101092803398
0.26,0.76391422013607,-0.819378481503749,0.655290940457072,0.542341074903806
0.28,0.747657287158335,-0.806335927931768,0.648957507987697,0.575485254387991
0.3,0.731659935867666,-0.793420444423527,0.642584585637774,0.607563535120696
0.32,0.71591961722345,-0.780632782079546,0.63617602339218,0.638605201786735
0.34,0.700433767925215,-0.767973616175605,0.629735554163345,0.668638925096273
0.36,0.685199811905879,-0.755443548478938,0.623266796309776,0.697692767283456
0.38,0.670215161779171,-0.743043109514465,0.616773256113861,0.725794187880707
0.4,0.655477220242231,-0.730772760781876,0.610258330219368,0.752970049751427
0.42,0.640983381434344,-0.718632896924356,0.603725308029061,0.779246625364231
0.44,0.62673103225278,-0.706623847849761,0.597177374062839,0.804649603292284
0.46,0.612717553626681,-0.694745880805023,0.590617610276822,0.829204094921731
0.48,0.598940321749918,-0.682999202404549,0.584048998343792,0.85293464135365
0.5,0.585396709273835,-0.67138396061341,0.577474421895425,0.87586522048441
0.52,0.572084086460776,-0.659900246686052,0.570896668726715,0.898019254249738
0.54,0.558999822299273,-0.648548097061299,0.564318432963021,0.9194196160183
0.56,0.546141285581771,-0.637327495214382,0.557742317190162,0.940088638120982
0.58,0.533505845945729,-0.626238373466735,0.551170834547963,0.960048119502571
